answer_key_id,true_mistakes,prompt_type,ai_estimated_mistakes
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,14
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,13
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,14
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,14
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,13
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,13
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,13
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,13
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,13
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,14
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,14
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,12
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,11
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,13
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,11
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,11
111010010110111 ,15,pessimistic,14
111010010110111 ,15,neutral,14
111010010110111 ,15,confident,14
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,12
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,12
111010010110111 ,15,very_confident,14
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,12
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,13
111010010110111 ,15,very_confident,14
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,14
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,15
111010010110111 ,15,confident,15
111010010110111 ,15,very_confident,15
111010010110111 ,15,very_pessimistic,15
111010010110111 ,15,pessimistic,15
111010010110111 ,15,neutral,14
